reference_id,kind,viewport,route,precondition,actual_screenshot,reference_render,diff_png,overlay_png,metric,console_receipt,network_receipt,impl_status,visual_status,reviewer,exception_rationale,final_verdict
desktop/01-exams-sw-list-full,page,desktop,https://www.xoamutoeic.com/exams?tab=sw,,desktop01-catalog-sw.png,references/xoamutoeic/screenshots/desktop/01-exams-sw-list-full.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-01-exams-sw-list-full/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-01-exams-sw-list-full/overlay.png,rmse=101.6 diff=98.9%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/02-exams-lr-list-full,page,desktop,https://www.xoamutoeic.com/exams?tab=lr,,desktop02-catalog-lr.png,references/xoamutoeic/screenshots/desktop/02-exams-lr-list-full.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-02-exams-lr-list-full/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-02-exams-lr-list-full/overlay.png,rmse=101.1 diff=97.8%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/03-exam-start-mode-modal,modal,desktop,https://www.xoamutoeic.com/exams?tab=lr,,desktop03-mode-dialog.png,references/xoamutoeic/screenshots/desktop/03-exam-start-mode-modal.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-03-exam-start-mode-modal/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-03-exam-start-mode-modal/overlay.png,rmse=49.5 diff=85.9%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/04-exam-lr-detail-start,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop04-exam-detail.png,references/xoamutoeic/screenshots/desktop/04-exam-lr-detail-start.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-04-exam-lr-detail-start/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-04-exam-lr-detail-start/overlay.png,rmse=60.2 diff=88.2%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/05-exam-lr-active-part1,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop05-listening-directions.png,references/xoamutoeic/screenshots/desktop/05-exam-lr-active-part1.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-05-exam-lr-active-part1/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-05-exam-lr-active-part1/overlay.png,rmse=62.0 diff=84.2%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/06-exam-lr-part1-directions,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop06-part1-directions.png,references/xoamutoeic/screenshots/desktop/06-exam-lr-part1-directions.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-06-exam-lr-part1-directions/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-06-exam-lr-part1-directions/overlay.png,rmse=73.9 diff=77.4%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/07-exam-lr-part1-question1,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop07-part1-q1.png,references/xoamutoeic/screenshots/desktop/07-exam-lr-part1-question1.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-07-exam-lr-part1-question1/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-07-exam-lr-part1-question1/overlay.png,rmse=66.1 diff=83.8%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/08-exam-lr-question-palette,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop08-palette-answered.png,references/xoamutoeic/screenshots/desktop/08-exam-lr-question-palette.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-08-exam-lr-question-palette/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-08-exam-lr-question-palette/overlay.png,rmse=87.5 diff=100.0%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/09-exam-lr-reading-part5-question101,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop09-part5.png,references/xoamutoeic/screenshots/desktop/09-exam-lr-reading-part5-question101.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-09-exam-lr-reading-part5-question101/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-09-exam-lr-reading-part5-question101/overlay.png,rmse=32.7 diff=81.2%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/10-exam-lr-reading-bilingual-marked,exception,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop10-bilingual-on.png,references/xoamutoeic/screenshots/desktop/10-exam-lr-reading-bilingual-marked.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-10-exam-lr-reading-bilingual-marked/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-10-exam-lr-reading-bilingual-marked/overlay.png,rmse=35.5 diff=78.0%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,EXCEPTION,pending,desktop/10 — site defects in current production: Song ngữ opens empty dialog,pending
