reference_id,kind,viewport,route,precondition,actual_screenshot,reference_render,diff_png,overlay_png,metric,console_receipt,network_receipt,impl_status,visual_status,reviewer,exception_rationale,final_verdict
desktop/01-exams-sw-list-full,page,desktop,https://www.xoamutoeic.com/exams?tab=sw,,.agent/evidence/R3-LR/screenshots/desktop01-catalog-sw.png,references/xoamutoeic/screenshots/desktop/01-exams-sw-list-full.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-01-exams-sw-list-full/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-01-exams-sw-list-full/overlay.png,rmse=201.2 diff=100.0% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/02-exams-lr-list-full,page,desktop,https://www.xoamutoeic.com/exams?tab=lr,,.agent/evidence/R3-LR/screenshots/desktop02-catalog-lr.png,references/xoamutoeic/screenshots/desktop/02-exams-lr-list-full.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-02-exams-lr-list-full/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-02-exams-lr-list-full/overlay.png,rmse=201.7 diff=100.0% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/03-exam-start-mode-modal,modal,desktop,https://www.xoamutoeic.com/exams?tab=lr,,.agent/evidence/R3-LR/screenshots/desktop03-mode-dialog.png,references/xoamutoeic/screenshots/desktop/03-exam-start-mode-modal.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-03-exam-start-mode-modal/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-03-exam-start-mode-modal/overlay.png,rmse=66.1 diff=99.9% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/04-exam-lr-detail-start,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop04-exam-detail.png,references/xoamutoeic/screenshots/desktop/04-exam-lr-detail-start.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-04-exam-lr-detail-start/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-04-exam-lr-detail-start/overlay.png,rmse=211.7 diff=100.0% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/05-exam-lr-active-part1,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop05-listening-directions.png,references/xoamutoeic/screenshots/desktop/05-exam-lr-active-part1.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-05-exam-lr-active-part1/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-05-exam-lr-active-part1/overlay.png,rmse=204.2 diff=98.1% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/06-exam-lr-part1-directions,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop06-part1-directions.png,references/xoamutoeic/screenshots/desktop/06-exam-lr-part1-directions.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-06-exam-lr-part1-directions/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-06-exam-lr-part1-directions/overlay.png,rmse=196.7 diff=98.1% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/07-exam-lr-part1-question1,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop07-part1-q1.png,references/xoamutoeic/screenshots/desktop/07-exam-lr-part1-question1.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-07-exam-lr-part1-question1/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-07-exam-lr-part1-question1/overlay.png,rmse=184.7 diff=98.2% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/08-exam-lr-question-palette,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop08-palette.png,references/xoamutoeic/screenshots/desktop/08-exam-lr-question-palette.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-08-exam-lr-question-palette/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-08-exam-lr-question-palette/overlay.png,rmse=115.7 diff=100.0% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/09-exam-lr-reading-part5-question101,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop09-part5-q101.png,references/xoamutoeic/screenshots/desktop/09-exam-lr-reading-part5-question101.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-09-exam-lr-reading-part5-question101/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-09-exam-lr-reading-part5-question101/overlay.png,rmse=212.7 diff=98.1% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,NEEDS-HUMAN,human-owner-pending,,pending
desktop/10-exam-lr-reading-bilingual-marked,exception,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,.agent/evidence/R3-LR/screenshots/desktop10-bilingual-on.png,references/xoamutoeic/screenshots/desktop/10-exam-lr-reading-bilingual-marked.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-10-exam-lr-reading-bilingual-marked/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R3-VISUAL/states-r3/desktop-10-exam-lr-reading-bilingual-marked/overlay.png,rmse=212.7 diff=98.2% dimsEq=false,.agent/evidence/R3-LR/console-network-desktop.txt,.agent/evidence/R3-LR/console-network-desktop.txt,implemented,EXCEPTION,human-owner-pending,desktop/10 — site defects in current production: Song ngữ opens empty dialog,pending
