R2-LR screenshot manifest: <reference id> -> <actual png filename>
timestamp: 2026-08-01T02:39:42.751Z
desktop/01 -> desktop01-catalog-sw.png   (Catalog SW tab)
desktop/02 -> desktop02-catalog-lr.png   (Catalog LR tab)
desktop/03 -> desktop03-mode-dialog.png   (Exam start mode dialog)
desktop/04 -> desktop04-exam-detail.png   (Exam detail page)
desktop/05 -> desktop05-listening-directions.png   (Runner listening directions)
desktop/06 -> desktop06-part1-directions.png   (Runner Part 1 directions)
desktop/07 -> desktop07-part1-q1.png   (Runner Part 1 Q1 (photograph))
desktop/08 -> desktop08-palette-answered.png   (Palette open with answered marker)
desktop/09 -> desktop09-part5.png   (Part 5 reading split layout)
desktop/10 -> desktop10-bilingual-on.png   (Bilingual toggle ON state (app implements; reference live-drift))
desktop/11 -> desktop11-annotation-toolbar.png   (Annotation toolbar (app implements; reference live-drift))
desktop/12 -> desktop12-part6.png   (Part 6 reading split layout)
desktop/13 -> desktop13-part7.png   (Part 7 reading split layout)
desktop/14 -> desktop14-submit-confirm.png   (Submit confirmation dialog (app has dialog; reference historical-exception))
desktop/15 -> desktop15-result.png   (Result certificate)
desktop/16 -> desktop16-score-table-modal.png   (Score table modal Bảng kết quả)
desktop/17 -> desktop17-error-map.png   (Error map)
desktop/18 -> desktop18-review-detail.png   (Review detail modal)
desktop/19 -> desktop19-history.png   (History page)
desktop/19 (history-gate analog) -> desktop20-login-returnUrl.png   (Login page with returnUrl (anonymous gate))
(no ref — app-side) -> desktop21-post-login-return.png   (Post-login return with intent preserved)
(no ref — app-side) -> desktop22-part2-audio-player.png   (Audio player visible (Part 2 Q4; Part1 has no audio in seed))
mobile/01 -> mobile01-catalog-sw.png   (Catalog SW tab (mobile))
mobile/02 -> mobile02-catalog-lr.png   (Catalog LR tab (mobile))
(no ref — app-side) -> mobile03-mode-dialog.png   (Mode dialog (mobile))
mobile/04 -> mobile04-exam-detail.png   (Exam detail page (mobile))
mobile/05 -> mobile05-listening-directions.png   (Listening directions (mobile))
mobile/06 -> mobile06-part1-directions.png   (Part 1 directions (mobile))
mobile/03 -> mobile07-part1-q1.png   (Runner Part 1 Q1 photograph (mobile))
mobile/08 -> mobile08-palette-answered.png   (Palette answered (mobile))
mobile/09 -> mobile09-part5.png   (Part 5 split layout (mobile))
mobile/10 -> mobile10-part6.png   (Part 6 split layout (mobile))
mobile/11 -> mobile11-part7.png   (Part 7 split layout (mobile))
mobile/12 -> mobile12-annotation-toolbar.png   (Annotation toolbar (mobile))
mobile/13 -> mobile13-bilingual-on.png   (Bilingual ON (mobile))
mobile/14 -> mobile14-submit-confirm.png   (Submit confirm (mobile))
mobile/15 -> mobile15-result.png   (Result (mobile))
mobile/16 -> mobile16-score-table-modal.png   (Score table modal (mobile))
mobile/17 -> mobile17-error-map.png   (Error map (mobile))
mobile/18 -> mobile18-review-detail.png   (Review detail (mobile))
mobile/19 -> mobile19-history.png   (History page (mobile))
(no ref — app-side) -> mobile20-login-returnUrl.png   (Login with returnUrl (mobile))
(no ref — app-side) -> mobile21-post-login-return.png   (Post-login return (mobile))
(no ref — app-side) -> mobile22-part2-audio-player.png   (Audio player Part 2 (mobile))
(no ref — app-side) -> states-catalog-loading.png   (Catalog loading state)
(no ref — app-side) -> states-catalog-empty.png   (Catalog empty state)
