module,impl_files,route_endpoint,positive_test,negative_test,browser_evidence,status
"catalog","routes/toeic.routes.ts:8; controllers/toeic.controller.ts:31-46; services/toeic.service.ts:16-56","GET /api/toeic-exams","catalog.test.ts:21 serves the catalog publicly without authentication; journey.test.ts:101 S7-J1","catalog.test.ts:64 rejects non-numeric pagination parameters with 400","R3-LR/screenshot-manifest.txt desktop01-catalog-sw.png desktop02-catalog-lr.png; R3-SW/mobile01-catalog-sw.png; R3-OFFLINE/verify.txt (a)","PASS"
"search/filter/tabs","validations/toeic.validation.ts:73-78; toeic.service.ts:20-31; CatalogPage.tsx:28-92","GET /api/toeic-exams?search=&skillType=&collectionId=&page=&pageSize=","catalog.test.ts:83 filters catalog by skillType without leaking protected columns","catalog.test.ts:64 (400 non-numeric pagination); toeic.validation.ts:75 skillType enum","R3-LR/summary.txt LOCALSTORAGE catalog keys LR/SW; R3-FE-FIX/returnurl-sw.txt; R3-SW/mobile01-catalog-sw.png","PASS"
"exam detail","toeic.routes.ts:9; toeic.controller.ts:48-56; toeic.service.ts:58-69","GET /api/toeic-exams/:slug","journey.test.ts:117 S7-J2 exam detail returns slug + sections, no review leak; catalog.test.ts:69","toeic.controller.ts:51 404 Exam not found; catalog.test.ts:69 no leak","R3-LR/journey-desktop.txt (120 phut / 21 cau hoi / 7 phan thi); desktop04-exam-detail.png; R3-SW/desktop20-exam-sw-detail.png","PASS"
"mode selection","ExamModeDialog.tsx; validations/toeic.validation.ts:4; toeic.service.ts:78","POST /api/toeic-exams/:id/attempts mode=EXAM|PRACTICE","journey.test.ts:165 S7-J4 create attempt 201; R3-LR/journey-desktop.txt mode dialog Thi thu/Luyen tap PASS","zod enum toeic.validation.ts:4 -> 400; toeic.controller.ts:62 invalid id 400 (no dedicated test)","R3-LR/screenshot-manifest.txt desktop03-mode-dialog.png; R3-LR/journey-desktop.txt","PASS"
"login/register/logout","auth.routes.ts:64-163; middlewares/auth.middleware.ts","POST /api/auth/register; POST /api/auth/login; POST /api/auth/logout","security.test.ts:93 register+hash+httpOnly cookie; :136 login; auth.test.ts:44 logout revocation; journey.test.ts:131 S7-J3","security.test.ts:116 (409 dup); :128 (400 invalid email); :154 (401 unknown); :166 (401 wrong pw); auth.test.ts:74 revoked jti","R3-LR/summary.txt cookie flags; R3-SECURITY/jti-revocation.txt (201/200/200/401)","PASS"
"return URL","LoginPage.tsx:24-26; ExamModeDialog.tsx:52-54; HistoryPage.tsx:67-69; CatalogPage.tsx:74-81","GET /dang-nhap?returnUrl=...","R3-LR/journey-desktop.txt returnUrl intent preserved + redirect; R3-FE-FIX/returnurl-sw.txt tab=sw","LoginPage.tsx:25 rejects non-/ returnUrl (open-redirect guard, no test)","R3-FE-FIX/returnurl-sw.txt sw-returnurl-after-login.png history-gate.png","PASS"
"attempt create/get/resume","toeic.routes.ts:13,15; toeic.controller.ts:58-85; toeic.service.ts:71-127; attemptStore.ts:283-334; lib/attemptStorage.ts:189-203","POST /api/toeic-exams/:id/attempts; GET /api/toeic-attempts/:id","journey.test.ts:165 S7-J4; :180 S7-J5 get attempt session","security.test.ts:222 404 anti-oracle; controller 404/400","R3-LR/summary.txt finding [1] reload/resume IN_PROGRESS; R2-BE-TZ/verify-live.txt","PASS"
"LR parts 1-7","seed.ts:152-281 (Parts 1-4), :284-376 (Parts 5-7); MockExamRunnerPage.tsx:370-399; attemptStore.ts:467-479; scorer.service.ts:9","GET /api/toeic-attempts/:id (session.sections)","journey.test.ts:180 S7-J5; scorer.test.ts:137 boundary 4/5; R3-LR journey Part1-7 PASS lines","scorer.test.ts:44 not LR throw; :39 not found","R3-LR/desktop07-part1-q1.png desktop09-part5-q101.png desktop12-part6-q131.png desktop13-part7-q147.png; journey-desktop.txt","PASS"
"speaking","runner/sw/SpeakingView.tsx; MicrophoneSetup.tsx; swStore.ts; toeic.service.ts:192-235","POST /api/toeic-attempts/:id/media/presign (webm)","R3-SW/journey-desktop.txt speaking q1..q8 PUT 200; toeicMedia.test.ts:39","toeicMedia.test.ts:126/134/177/195/236","R3-SW/minio-listing.txt (16 objects); desktop23-26 png; mobile-sw-speaking.png","PASS"
"writing","runner/sw/WritingView.tsx; swStore.ts:118-168","PATCH /api/toeic-attempts/:id/responses/:questionId (textResponse)","R3-SW/journey-desktop.txt autosaved + word count + 8/8 persisted; journey.test.ts:199 S7-J6","security.test.ts:299 stale revision; :288 not IN_PROGRESS; integration.test.ts:75","R3-SW/desktop28-30 png; mobile-sw-writing.png; summary.txt 8/8 persisted","PASS"
"autosave","attemptStore.ts:214-252, 407-417; swStore.ts:118-168","PATCH /api/toeic-attempts/:id/responses/:questionId","R3-SW/journey-desktop.txt q1 autosaved (Da luu); journey.test.ts:199 S7-J6","security.test.ts:288 not IN_PROGRESS 409","R3-SW/journey-desktop.txt; R3-LR/console-network-desktop.txt PATCH receipts","PASS"
"revision reconciliation","attemptStore.ts:148-168,243-246; swStore.ts:143-156; toeic.service.ts:162-175","PATCH /api/toeic-attempts/:id/responses/:questionId (clientRevision)","security.test.ts:314 replay idempotent; R3-SW q8 409 reconciled","security.test.ts:299 stale 409; :335 divergent; integration.test.ts:75","R2-FAILURE/04-409-revision.txt (client_revision=11); R3-SW/console-network-desktop.txt","PASS"
"timer/expiry","attemptStore.ts:44-45,302-303,355-359; MockExamRunnerPage.tsx:65-73; pool timezone=Z","GET /api/toeic-attempts/:id (started_at UTC)","journey.test.ts:180 S7-J5; R2-BE-TZ/verify-live.txt no premature expiry","R3-LR/summary.txt finding [1] no false expiry after reload","R2-BE-TZ/verify-live.txt; fix-diff.txt; R3-LR/summary.txt","PASS"
